id,lingkar dada,lebar dada,dalam dada,panjang badan,tinggi pundak,tinggi pinggul,lebar pinggul,berat badan
1,28,6,10,24,28,28,7,2.28
2,30,7,10,26,28,28,8,2.5
3,32,8,12,25,30,33,9,3.06
4,32,8,12,27,30,31,12,3.85
5,40,9,13,34,37,39,12,5.07
6,44,10,13,34,43,46,11,5.34
7,38,8,13,27,33,37,10,4.37
8,39,10,12,30,36,37,11,4.86
9,41,8,15,31,35,37,13,5.24
10,40,10,13,30,34,37,12,5.36
11,39,10,14,35,37,38,11,5.2
12,41,10.5,13,37,37,38,12,5.24
13,41,10,19,37,43,43,12,5.7
14,40,9,12,36,40,42,13,6.5
15,42,10,14,36,42,45,12,6.7
16,45,11,14,35,43,45,14,8.05
17,40,9,12,28,35,38,13,5.19
18,41,10,11,31,36,37,13,5.96
19,42,9,15,34,42,43,11,6.7
20,44,9,15,34,46,47,10,7.68
21,50,12,13,39,45,48,14,8.5
22,45,12,15,36,41,44,14,9.15
23,46,9,14,34,44,46,10,10.12
24,43,9,17,31,38,43,11,6.15
25,40,10,13,32,35,37,11,7.21
26,42,9,14,36,41,42,11,7.08
27,43,9,15,36,44,47,13,7.4
28,42,9,14,34,39,40,13,7.43
29,43,9,15,37,41,41,11,7.82
30,46,9,16,39,46,48,12,8.52
31,43,10,15,37,41,42,11,8.84
32,46,11,16,39,43,46,12,9.53
33,48,13,16,38,48,50,15,9.67
34,46,11,14,39,41,43,12,10.02
35,47,11,18,41,47,52,12,10.24
36,45,9,15,34,40,41,11,7.95
37,46,9,13,32,42,43,11,7.97
38,44,10,15,34,45,47,12,8.05
39,47,9,16,35,42,43,11,8.15
40,52,12,19,45,51,53,14,12.52
41,46,9,16,35,41,42,12,7.82
42,47,10,17,40,43,47,12,8.9
43,46,10,19,37,41,46,11,9.42
44,48,12,17,43,45,45,13,9.9
45,47,10,18,39,45,46,12,9.96
46,54,15,15,46,51,53,16,10.2
47,48,11,16,38,43,45,14,10.35
48,54,11,15,38,43,46,13,10.93
49,50,13,16,46,57,61,15,11.38
50,55,12,16,42,42,45,13,11.94
51,54,11,17,45,48,55,14,12.2
52,55,9,16,37,43,45,10,12.5
53,49,11,16,40,44,50,14,11.33
54,53,13,17,45,45,48,14,12.05
55,56,12,20,43,52,55,14,12.47
56,52,11,16,40,40,49,12,12.5
57,52,12,20,45,49,55,13,13.8
58,50,11,20,38,43,46,12,10.92
59,52,11,18,41,41,44,14,11.23
60,51,13,18,41,45,49,14,12.04
61,53,11,22,42,44,49,14,13.06
62,60,12,17,42,50,57,14,13.14
63,53,10,19,40,50,50,11,13.3
64,55,12,25,42,49,52,15,13.8
65,52,13,16,44,51,54,16,13.89
66,53,12,17,44,43,49,14,13.89
67,52,16,32,46,49,53,19,14.3
68,56,12,17,47,44,48,14,15.05
69,55,14,21,47,50,53,16,14.15
70,54,12,20,42,47,51,15,14.71
71,57,13,20,45,49,55,16,16.04
72,57,11,20,49,48,50,14,16.68
73,54,12,20,45,46,51,15,12.79
74,68,12,19,38,54,60,16,14.26
75,53,12,18,38,43,49,17,12.4
76,55,14,23,49,53,56,15,12.64
77,54,11,19,42,47,49,12,12.7
78,54,12,19,44,42,44,14,13.76
79,55,11,22,46,46,49,14,14.47
80,55,13,18,42,47,54,15,15.24
81,56,12,18,45,47,50,17,16.14
82,58,12,21,50,50,51,14,17.49
83,58,13,19,46,51,52,14,17.92
84,53,13,20,40,46,47,15,12.68
85,57,14,21,46,51,53,16,15.74
86,57,12,21,48,46,49,14,16.31
87,57,10,19,44,53,56,15,16.56
88,56,12,20,46,49,55,14,16.75
89,57,11,21,45,55,57,14,16.72
90,61,12,18,48,53,55,14,18.53
91,67,14,16,60,61,64,15,18.62
92,60,13,19,48,53,56,14,20.14
93,60,10,19,44,52,58,15,20.24
94,62,16,19,46,56,64,19,21.32
95,67,14,21,49,60,61,17,22.08
96,65,12,23,52,55,58,14,22.63
97,71,17,25,59,55,56,21,24
98,67,13,24,52,55,58,19,24.82
99,56,12,18,48,52,55,15,15.78
100,59,12,19,46,50,56,16,16.82
101,56,10,21,49,53,52,14,17.59
102,56,13,20,51,51,53,17,18.01
103,62,16,16,46,55,58,18,18.3
104,59,13,21,46,56,58,15,19.27
105,59,13,21,47,57,60,15,19.43
106,60,15,23,52,54,58,17,19.43
107,64,16,22,50,58,60,20,20.53
108,63,13,22,49,55,57,16,22.76
109,66,14,22,53,56,60,18,23.64
110,68,14,24,51,56,61,19,24.64
111,67,14,22,53,61,63,19,25.28
112,68,13,21,51,56,62,17,25.48
113,66,17,23,53,55,62,20,25.56
114,69,15,23,53,62,64,18,25.67
115,60,15,17,57,58,59,17,19.15
116,61,15,18,48,57,61,19,20.74
117,64,16,20,45,62,65,18,21.6
118,67,14,21,45,58,61,19,22.1
119,63,16,21,52,54,60,18,23.1
120,70,17,22,54,63,66,19,25.48
121,70,16,22,55,64,65,18,25.56
122,71,14,24,55,60,63,20,25.9
123,68,14,22,45,49,52,17,25.96
124,64,15,23,55,57,63,20,26.04
125,68,15,24,54,60,65,19,26.17
126,71,16,23,57,59,62,18,26.34
127,68,15,24,58,58,60,18,26.62
128,77,20,23,54,61,63,20,26.74
129,67,14,23,51,55,58,18,27.76
130,74,15,24,60,67,69,20,28.94
131,63,15,25,50,55,59,17,23.04
132,68,14,30,55,58,61,16,26.43
133,70,14,29,54,59,60,17,26.71
134,72,14,31,56,57,60,16,26.91
135,70,16,30,55,59,61,17,26.91
136,69,12,24,61,61,66,18,28
137,72,16,30,56,60,63,20,28.26
138,75,15,29,55,60,63,18,28.46
139,75,16,24,57,62,63,18,28.74
140,73,17,26,60,63,65,20,29.45
141,73,17,20,55,63,66,19,29.49
142,71,14,26,59,64,66,17,29.56
143,72,16,32,53,55,57,17,29.75
144,77,17,24,61,59,65,21,31.14
145,72,16,31,59,73,74,20,37
146,79,16,26,60,69,69,19,37
147,76,17,31,58,60,62,20,34.96
148,78,22,33,55,64,66,22,38.9
149,81,21,34,65,62,70,23,38.92
150,83,23,36,59,70,74,25,41.13
151,50,9,10,36,39,42,9,9
152,50,8,17,42,40,43,10,11.59
153,50,9,16,31,44,45,11,10.62
154,49,8,16,35,45,46,10,11.88
155,35,6,13,28,30,32,9,5.7
156,42,9,15,30,42,43,8,8.2
157,42,8,16,32,42,42,9.5,7.8
158,48,10,22,32,43,46,11,9.9
159,46,9,19,31,45,48,11,9.52
160,56,9,23,39,52,54,13,15.7
161,36,7,13,25,36,37,10,4.72
162,39,9,14,26,38,39,10,6.86
163,46,8,14,44,46,47,11,9.26
164,40,9,17,33,36,37,10,7.16
165,30,6,11,22,27,28,7,2.96
166,29,7,13,22,25,26,7,2.92
167,52,13,17,43,44,46,14,11.82
168,47,12,20,40,41,43,12,9.68
169,31,7.5,10,20,30,32,7.5,3.5
170,33,8.5,10,25,31,32,8.5,3.88
171,36,9,16,30,36,37,11,5.68
172,37,10.5,13,32.5,37,37,10.5,4.9
173,37,10,12.5,33.5,38,38.5,10,5.14
174,32,9,12,27.5,31,31.5,9,4.16
175,32,9,12,27,31,31,9,4.4
176,42,11,14.8,34.5,36,36.5,11,7.96
177,31,7.5,10,20,30,32,7.5,3.5
178,50,9,10,36,39,42,9,9
179,53,10,22,36,43,46,11,9.9
180,29,7,13,22,25,26,7,2.92
181,59,11,17,47,52,53,13,18.96
182,57,11,19,46,54,54,11,16.02
183,55,10,21,39,46,48,13,13.44
184,49,10,13,35,48,50,13,13.32
185,58,12,18,39,50,51,14,14.24
186,57,11,12,31,45,47,14,12.18
187,55,10,18,39,51,53,12,14.22
188,54,9,22,41,47,49,9,15.04
189,56,9,22,42,47,49,8,14.4
190,50,10,17,38,43,43,10,10.28
191,56,8,20,44,46,48,10,15.1
192,43,9,16,37,42,43,11,7.94
193,50,11,18,42.5,49.6,50,13,11.22
194,53,8,19,47,52.5,53.5,10,16.5
195,58,8,18,46.5,54.5,55,10,17.14
196,46,8,16.8,35.5,39.7,40,9,9.44
197,41,10,16.5,36.5,39.5,40,11,7.24
198,51,10,19,42,52,53,13,13.5
199,57,11,19.5,37.7,52,52.5,15,16.12
200,57,10,19.5,37.7,52,52.5,14,16
201,51,9,19,42,52,53,10,13.5
202,41,15,16.5,36,39,40,13,7.3
203,46,14,17,35,39,40,12,9.5
204,58,11.5,18,46.5,54.5,55,11,17.14
205,53,12,19,47,52.5,53.5,12,16.5
206,50,14,18,42.5,49.6,50,12,11.22
207,43,14,16,37,42,43,15,7.94
208,56,12.3,20,44,46,48,12.6,15.1
209,50,14.5,17,38,43,43,14.5,10.28
210,55,12,18,39,51,53,9,14.22
211,58,11,19,38,49,51,12,15.68
212,58,10,23,48,59,61,13,18.68
213,59,10,24,45,56,58,14,15.45
214,61,9,22,43,48,53,11,19.56
215,66,9,25,46,59,61,12,22.75
216,54,9,18,42,47,49,10,13.7
217,50,9,20,36,46,48,12,11.59
218,36,11,16,27,32,33,13,5.18
219,37,10,16,27,38,38,12,5.76
220,38,11,13,35,43,44,12,10.76
